Hospital_Name (clean),Hospital Name rev 2,Country
"RS TELOGOREJO SEMARANG, SEMARANG, Indonesia",RS TELOGOREJO,Indonesia
"RS NATIONAL HOSPITAL SURABAYA, SURABAYA, Indonesia",NATIONAL HOSPITAL SURABAYA,Indonesia
"RS PONDOK INDAH PURI INDAH, JAKARTA BARAT, Indones",RS PONDOK INDAH PURI INDAH,Indonesia
"RS EKA HOSPITAL SERPONG TANGERANG, TANGERANG, Indo",EKA HOSPITAL SERPONG TANGERANG,Indonesia
"RS JEC KEDOYA, JAKARTA BARAT, Indonesia",JAKARTA EYE CENTER (JEC) KEDOYA,Indonesia
"RS MITRA KELUARGA SURABAYA, SURABAYA, Indonesia",MITRA KELUARGA SURABAYA,Indonesia
"RS SINGAPORE GENERAL HOSPITAL, SINGAPORE, Singapor",SINGAPORE GENERAL HOSPITAL,Singapore
"RS ORTHOPEDI TRAUMATOLOGI SURABAYA, SURABAYA, Indo",RS ORTHOPEDI & TRAUMATOLOGY SURABAYA,Indonesia
"RS GLENEAGLES PENANG, PENANG, Malaysia",GLENEAGLES HOSPITAL PENANG,Malaysia
"RS SILOAM HOSPITALS JEMBER, JEMBER, Indonesia",SILOAM HOSPITAL JEMBER,Indonesia
"KLINIK TIDAR MEDIKA MALANG, INDONESIA, INDONESIA,",KLINIK TIDAR MEDIKA,Indonesia
"RS GRAND FAMILY JAKARTA UTARA, JAKARTA UTARA, Indo",RS GRAND FAMILY JAKARTA UTARA,Indonesia
"RS PREMIER SURABAYA, SURABAYA, Indonesia",RS PREMIER SURABAYA,Indonesia
"RS MITRA KELUARGA CIKARANG, BEKASI, Indonesia",MITRA KELUARGA CIKARANG,Indonesia
"RS RS. HAJI JAKARTA, INDONESIA, INDONESIA, INDONES",RS HAJI JAKARTA,Indonesia
"RS DSIDHARTA DENTAL STUDIO, INDONESIA, INDONESIA,",RS DSIDHARTA DENTAL STUDIO,Indonesia
"RS YH GOH EAR NOSE THROAT, HEAD NECK SURGERY, SIN",YH GOH ENT HEAD AND NECK SURGERY EAR NOSE THROAT HEAD AND NECK SURGERY,Singapore
"KLINIK MATA NUSANTARA KEMAYORAN, INDONESIA, INDONE",KLINIK MATA NUSANTARA KEMAYORAN,Indonesia
"RS GATOEL MOJOKERTO, MOJOKERTO, Indonesia",RS GATOEL MOJOKERTO,Indonesia
"RS DR KRISNI SUBANDIYAH SPAK, INDONESIA, INDONESIA",RS DR KRISNI SUBANDIYAH SPAK,Indonesia
"RS SILOAM SRIWIJAYA PALEMBANG, PALEMBANG, Indonesi",SILOAM HOSPITAL SRIWIJAYA,Indonesia
"RS PONDOK INDAH BINTARO JAYA, TANGERANG SELATAN, I",RS PONDOK INDAH BINTARO,Indonesia
RS,RS,Indonesia
RS THE SPORE GASTROENTEROLOGY LIVER INTERNIST CENT,SPORE GASTROENTEROLOGY & LIVER INTERNIST CENTRE GLENEAGLES HOSPITAL,Singapore
"RS COLORECTAL CLINIC ASSOCIATES, SINGAPORE, SINGAP",COLORECTAL CLINIC ASSOCIATES SINGAPORE,Singapore
"RS GOTONG ROYONG, INDONESIA, INDONESIA, INDONESIA,",RS GOTONG ROYONG,Indonesia
"RS PERMATA CIBUBUR, BEKASI, Indonesia",RS PERMATA CIBUBUR,Indonesia
"RS SILOAM DHIRGA SURYA, MEDAN, Indonesia",RS DHIRGA SURYA,Indonesia
"RS JANTUNG DIAGRAM DEPOK [SILOAM HOSPITALS GROUP0,",RS JANTUNG DIAGRAM,Indonesia
"RS PREMIER JATINEGARA, JAKARTA TIMUR, Indonesia",RS PREMIER JATINEGARA,Indonesia
"RS JEC MENTENG, JAKARTA PUSAT, Indonesia",JAKARTA EYE CENTER (JEC) MENTENG,Indonesia
"RS ERHA CLINIC, INDONESIA, INDONESIA, INDONESIA, I",RS ERHA CLINIC,Indonesia
"RS VESTIN MEDICAL SERVICES COMPANY PTE LTD, SINGAP",VESTIN MEDICAL SERVICES CO PTE LTD SINGAPORE,Singapore
RS PARKWAY HOSPITALS SINGAPORE PTE LTD-MOUNT ELIZA,PARKWAY HOSPITALS SINGAPORE PTE LTD,Singapore
"RSIA MELINDA 1, BANDUNG, Indonesia",RSIA MELINDA 1,Indonesia
"RS HERMINA TANGKUBANPRAHU MALANG, MALANG, Indonesi",RS HERMINA TANGKUBAN PERAHU,Indonesia
"RS HERMINA DAAN MOGOT, JAKARTA BARAT, Indonesia",RS HERMINA DAAN MOGOT,Indonesia
"RS PANTI NIRMALA MALANG, MALANG, Indonesia",RS PANTI NIRMALA,Indonesia
"RS OMNI HOSPITALS ALAM SUTERA, TANGERANG, Indonesi",OMNI HOSPITAL ALAM SUTERA,Indonesia
"RS SANTA MARIA PEKANBARU, PEKANBARU, Indonesia",RS SANTA MARIA PEKANBARU,Indonesia
"RS HERMINA GALAXY BEKASI, BEKASI, Indonesia",RS HERMINA GALAXY,Indonesia
"RSIA BUNDA JAKARTA, JAKARTA PUSAT, Indonesia",RS BUNDA JAKARTA,Indonesia
"RS ISLAM PURWOREJO, PURWOREJO, Indonesia",RS ISLAM PURWOREJO,Indonesia
"RS LEE HUNG EYE CENTRE, SINGPORE, SINGAPORE, SINGP",LEE HUNG MING EYE CENTRE SINGPORE,Singapore
RS PARKWAY HOSPITALS SINGAPORE PTE LTD-GLENEAGLES,PARKWAY HOSPITALS SINGAPORE PTE LTD,Singapore
"RSIA BELLEZA KEDATON, BANDAR LAMPUNG, Indonesia",RSIA BELLEZA KADATON,Indonesia
"RS BRAWIJAYA WOMEN CHILDREN JAKARTA, JAKARTA SELA",BRAWIJAYA WOMEN & CHILDREN HOSPITAL,Indonesia
"RS GLENEAGLES KUALA LUMPUR, KUALA LUMPUR, Malaysia",GLENEAGLES HOSPITAL KUALA LUMPUR,Malaysia
"RS ROYAL TARUMA JAKARTA, JAKARTA BARAT, Indonesia",RS ROYAL TARUMA,Indonesia
"RS SILOAM HOSPITALS BALI, KUTA, Indonesia",SILOAM HOSPITAL BALI,Indonesia
"RS CHENG JUN GASTROENTEROLOGY MEDICAL CLINIC, SIN",CHENG JUN GASTROENTEROLOGY AND MEDICAL CLINIC MOUNT ELIZABETH,Singapore
"RS SUNWAY MEDICAL CENTRE Sdn. Bhd., PETALING JAYA,",SUNWAY MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
"RS MANYAR MEDICAL CENTRE (D/H BEDAH SURABAYA), SUR",RS MANYAR MEDICAL CENTRE,Indonesia
"RSIA BUDHI MULIA, PEKANBARU, Indonesia",RSIA BUDHI MULIA,Indonesia
"RS BANDUNG EYE CENTER, BANDUNG, Indonesia",BANDUNG EYE CENTER,Indonesia
"RS APOTEK CENTURY, INDONESIA, INDONESIA, INDONESIA",APOTEK CENTURY,Indonesia
"RS HERMINA CIPUTAT, TANGERANG, Indonesia",RS HERMINA CIPUTAT,Indonesia
"RS MEDI-RAD ASSOCIATES, SINGAPORE, SINGAPORE, SING",MEDIRAD ASSOCIATES LTD SINGAPORE,Singapore
"RS ORTHOPAEDIC AND SPINE CLINIC PTE LTD, SINGAPORE",ORTHOPAEDIC AND SPINE CLINIC PTE LTD,Singapore
"RS RSCM KENCANA, INDONESIA, INDONESIA, INDONESIA,",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS ADVENT BANDUNG, BANDUNG, Indonesia",RS ADVENT BANDUNG,Indonesia
"RS GADING PLUIT JAKARTA, JAKARTA UTARA, Indonesia",RS GADING PLUIT,Indonesia
"RS MEILIA DEPOK, DEPOK, Indonesia",RS MEILIA,Indonesia
"RS SANTO BORROMEUS BANDUNG, BANDUNG, Indonesia",RS ST BORROMEUS,Indonesia
"RS PAEDS ORTHO HEALTHCARE S/B, SINGAPORE, MALAYSI",PAEDS ORTHO HEALTHCARE SDN BHD MALAYSIA,Malaysia
"RS JOGJA INTERNATIONAL HOSPITAL ( JIH ), YOGYAKART",JOGJA INTERNATIONAL HOSPITAL,Indonesia
"RS DR THERI EFFENDI SPOT, INDONESIA, INDONESIA, IN",RS DR THERI EFFENDI SPOT,Indonesia
"RS MUS AHMAD BISRI, INDONESIA, INDONESIA, INDONESI",RS MUS AHMAD BISRI,Indonesia
"RS SRM MERIDIAN, SURABAYA, INDONESIA, SURABAYA, IN",RS SRM MERIDIAN,Indonesia
"RS ENTSINUS, SINGAPORE, SINGAPORE, SINGAPORE, SING",ENT SINUS CENTRE SINGAPORE,Singapore
"RS ST CAROLUS SUMMARECON SERPONG, TANGERANG, Indon",RSU ST CAROLUS SUMMARECON,Indonesia
"RS SILOAM HOSPITALS KEBON JERUK, JAKARTA BARAT, In",SILOAM HOSPITAL KEBON JERUK,Indonesia
"RS THE ORTHOKLINIC, SINGAPORE, SINGAPORE, SINGAPOR",ORTHOCLINIC SINGAPORE,Singapore
"RS ROYAL PROGRESS JAKARTA, JAKARTA UTARA, Indonesi",RS ROYAL PROGRES,Indonesia
"RS BUMI WARAS BANDAR LAMPUNG, BANDAR LAMPUNG, Indo",RS BUMI WARAS BANDAR LAMPUNG,Indonesia
"RS PENANG ADVENTIST HOSPITAL, PENANG, Malaysia",PENANG ADVENTIST HOSPITAL,Malaysia
"RS ABDI WALUYO JAKARTA, JAKARTA PUSAT, Indonesia",RS ABDI WALUYO,Indonesia
"RS ONKOLOGI SURABAYA, SURABAYA, Indonesia",RS ONKOLOGI SURABAYA,Indonesia
"RS DR. A.M. PUGUH SP.OG.MMR, INDONESIA, INDONESIA,",RS DR AM PUGUH SPOG MMR,Indonesia
"RS ANDREW SEE SURGERY, SINGAPORE, SINGAPORE, SINGA",ANDREW SEE SURGERY,Singapore
"RS NATIONAL UNIVERSITY HOSPITAL (NUH), SINGAPORE,",NATIONAL UNIVERSITY HOSPITAL SINGAPORE,Singapore
"RS PERSADA HOSPITAL MALANG, MALANG, Indonesia",PERSADA HOSPITAL MALANG,Indonesia
"RS ORTHOPEDI TRAUMATOLOGI SURABAYA, SURABAYA, Ind",RS ORTHOPEDI & TRAUMATOLOGY SURABAYA,Indonesia
"RS LOHGUANLYE SPECIALIST CENTRE, MALAYSIA, MALAYSI",LOH GUAN LYE SPECIALISTS CENTRE MALAYSIA,Malaysia
"RS DR. ANDREAS BAMBANG WAHYUDI, JAKARTA, INDONESIA",RS DR ANDREAS BAMBANG WAHYUDI,Indonesia
"RS RS. PLUIT, JAKARTA, INDONESIA, JAKARTA, INDONES",RS PLUIT,Indonesia
"RS DR. DR. TONY CHANDRA, SURABAYA, INDONESIA, SURA",RS DR TONY CHANDRA,Indonesia
"RS TUNG SHIN HOSPITAL, MALAYSIA, INDONESIA, MALAYS",TUNG SHIN HOSPITAL MALAYSIA,Malaysia
"RS SILOAM HOSPITALS SURABAYA, SURABAYA, Indonesia",SILOAM HOSPITAL SURABAYA,Indonesia
"RS LOHGUANLYE SPECIALIST CENTRE, MALAYSIA, INDONES",LOH GUAN LYE SPECIALISTS CENTRE MALAYSIA,Malaysia
"RS LOH GUAN LYE SPECIALISTS CENTRE, PENANG, Malays",LOH GUAN LYE SPECIALISTS CENTRE MALAYSIA,Malaysia
"RS PARKWAY CANCER CENTRE, SINGAPORE, SINGAPORE, SI",PARKWAY CANCER CENTRE SINGAPORE,Singapore
"RS BALI ROYAL HOSPITAL DENPASAR, DENPASAR, Indones",BALI ROYAL HOSPITAL (BROS),Indonesia
"RS PINNACLE JOINT SPORTS CENTRE PTE LTD, SINGAPOR",PINNACLE JOINT SPORTS CENTRE PTE LTD SINGAPORE,Singapore
"RS CENTRE FOR KIDNEY DISEASES, SINGAPORE, SINGAPOR",CENTRE FOR KIDNEY DISEASES PTE LTD SINGAPORE,Singapore
"RS ST CAROLUS SALEMBA, JAKARTA PUSAT, Indonesia",RS ST CAROLUS SALEMBA,Indonesia
"RS APOTEK ROXY, INDONESIA, INDONESIA, INDONESIA, I",APOTEK ROXY,Indonesia
"RS SILOAM HOSPITALS BALIKPAPAN, BALIKPAPAN, Indone",SILOAM HOSPITAL BALIKPAPAN,Indonesia
"RS IMANUEL WAY HALIM BANDAR LAMPUNG, BANDAR LAMPUN",RS IMMANUEL WAY HALIM,Indonesia
"RS SILOAM HOSPITALS BOGOR, BOGOR, Indonesia",SILOAM HOSPITAL BOGOR,Indonesia
"RS PERTAMINA CIREBON, CIREBON, Indonesia",RS PERTAMINA CIREBON,Indonesia
"RS DHARMA HUSADA PROBOLINGGO, PROBOLINGGO, Indones",RS DHARMA HUSADA PROBOLINGGO,Indonesia
"RS HUSADA JAKARTA, JAKARTA PUSAT, Indonesia",RS HUSADA JAKARTA,Indonesia
"RS MEDIKA MULIA, TUBAN, Indonesia",RS MEDIKA MULIA TUBAN,Indonesia
"RS SILOAM HOSPITALS JAMBI, JAMBI, Indonesia",SILOAM HOSPITAL JAMBI,Indonesia
"RS MITRA SIAGA TEGAL, TEGAL, Indonesia",RS MITRA SIAGA,Indonesia
"RS JEMURSARI SURABAYA ISLAM, SURABAYA, Indonesia",RS ISLAM SURABAYA JEMURSARI,Indonesia
"RSIA BUAH HATI PAMULANG, TANGERANG SELATAN, Indone",RSIA BUAH HATI PAMULANG,Indonesia
"RS BAPTIS BATU MALANG, MALANG, Indonesia",RS BAPTIS BATU,Indonesia
"RS MAYAPADA HOSPITAL MODERLAND TANGERANG, TANGERAN",MAYAPADA HOSPITAL TANGERANG,Indonesia
"RS CIPUTRA CITRA GARDEN CITY, JAKARTA BARAT, Indon",CIPUTRA HOSPITAL CITRA GARDEN CITY,Indonesia
"RS MARDI RAHAYU KUDUS, KUDUS, Indonesia",RS MARDI RAHAYU,Indonesia
"RS DELTA SURYA SIDOARJO, SIDOARJO, Indonesia",RS DELTA SURYA SIDOARJO,Indonesia
"RS MITRA KELUARGA BEKASI TIMUR, BEKASI, Indonesia",MITRA KELUARGA BEKASI TIMUR,Indonesia
"RS RKZ SURABAYA (SANTO VINCENTIUS A PAULO), SURABA",RS ST VINCENTIUS A PAULO,Indonesia
"RS SILOAM HOSPITALS LIPPO CIKARANG, BEKASI, Indone",SILOAM HOSPITAL LIPPO CIKARANG,Indonesia
"RS ST ELISABETH SEMARANG, SEMARANG, Indonesia",RS ST ELISABETH SEMARANG,Indonesia
"RS SILOAM HOSPITALS MANADO, MANADO, Indonesia",SILOAM HOSPITAL MANADO,Indonesia
"RS BUDI RAHAYU PEKALONGAN, PEKALONGAN, Indonesia",RS BUDI RAHAYU PEKALONGAN,Indonesia
"RS MITRA KELUARGA WARU, SIDOARJO, Indonesia",MITRA KELUARGA WARU,Indonesia
"RSIA FAMILY PLUIT JAKARTA , JAKARTA UTARA, Indones",RSIA FAMILY PLUIT JAKARTA,Indonesia
"RS PANTI RAPIH YOGYAKARTA, YOGYAKARTA, Indonesia",RS PANTI RAPIH,Indonesia
"RS ADI HUSADA UNDAAN WETAN SURABAYA, SURABAYA, Ind",RS ADI HUSADA UNDAAN WETAN,Indonesia
"RS SILOAM HOSPITALS TB SIMATUPANG, JAKARTA SELATAN",SILOAM HOSPITAL TB SIMATUPANG,Indonesia
"RS PREMIER BINTARO, TANGERANG SELATAN, Indonesia",RS PREMIER BINTARO,Indonesia
"RS YASMIN BANYUWANGI, BANYUWANGI, Indonesia",RS YASMIN BANYUWANGI,Indonesia
"RS PARAMA SIDHI SINGARAJA BALIU, SINGARAJA, Indone",RSU PARAMA SIDHI SINGARAJA BALI,Singapore
"RS PRIMA MEDIKA DENPASAR, DENPASAR, Indonesia",RS PRIMA MEDIKA DENPASAR,Indonesia
"RS DARMO SURABAYA, SURABAYA, Indonesia",RS DARMO SURABAYA,Indonesia
"RS ISLAM SULTAN AGUNG SEMARANG, SEMARANG, Indonesi",RS ISLAM SULTAN AGUNG SEMARANG,Indonesia
"RS GRAHA HUSADA LAMPUNG, BANDAR LAMPUNG, Indonesia",RS GRAHA HUSADA LAMPUNG,Indonesia
"RS PANTI WALUYA SAWAHAN, MALANG, Indonesia",RS PANTI WALUYA SAWAHAN,Indonesia
"RSIA PURI MALANG, MALANG, Indonesia",RSIA PURI MALANG,Indonesia
"RS SEMEN GRESIK, GRESIK, Indonesia",RS SEMEN GRESIK,Indonesia
"RS RUMAH SAKIT MARIA REGINA, INDONESIA, INDONESIA,",RS MARIA REGINA,Indonesia
"RS ISLAND HOSPITAL, MALAYSIA, MALAYSIA, MALAYSIA,",ISLAND HOSPITAL MALAYSIA,Malaysia
"RS W. LUMAN DIGESTIVE AND LIVER CLINIC, SINGAPORE,",W LUMAN DIGESTIVE AND LIVER CLINIC SINGAPORE,Singapore
"RS SILOAM HOSPITALS ASRI, JAKARTA SELATAN, Indones",RS ASRI SILOAM HOSPITAL,Indonesia
"RS BRAWIJAYA WOMEN CHILDREN JAKARTA, JAKARTA SELAT",BRAWIJAYA WOMEN & CHILDREN HOSPITAL,Indonesia
"RS ISLAND HOSPITAL, INDONESIA, MALAYSIA, INDONESIA",ISLAND HOSPITAL MALAYSIA,Malaysia
"RS RK CHARITAS PALEMBANG, PALEMBANG, Indonesia",RS RK CHARITAS PALEMBANG,Indonesia
RS PUTERA BAHAGIA CIREBON (SILOAM HOSPITALS GROUP),RS PUTERA BAHAGIA CIREBON,Indonesia
"RS PERMATA MEDIKA SEMARANG, SEMARANG, Indonesia",RS PERMATA MEDIKA SEMARANG,Indonesia
"RS HERMINA TANGERANG, TANGERANG, Indonesia",RS HERMINA TANGERANG,Indonesia
"RS ADI HUSADA KAPASARI SURABAYA, SURABAYA, Indones",RS ADI HUSADA KAPASARI,Indonesia
"RS OMNI HOSPITALS PULOMAS, JAKARTA TIMUR, Indonesi",OMNI HOSPITAL PEKAYON,Indonesia
"RS HAJI PONDOK GEDE, JAKARTA TIMUR, Indonesia",RS HAJI PONDOK GEDE JAKARTA,Indonesia
"RS BAPTIS KEDIRI, KEDIRI, Indonesia",RS BAPTIS KEDIRI,Indonesia
"RS STELLA MARIS MEDAN, MEDAN, Indonesia",RS STELLA MARIS MEDAN,Indonesia
"RS AWAL BROS BEKASI BARAT, BEKASI, Indonesia",RS AWAL BROS BEKASI BARAT,Indonesia
"RS AWAL BROS PEKANBARU, PEKANBARU, Indonesia",RS AWAL BROS PEKANBARU,Indonesia
"RS KELUARGA SEHAT PATI JAWA TENGAH, PATI, Indonesi",RS KELUARGA SEHAT,Indonesia
"RS RSUD SLEMAN, YOGYAKARTA, INDONESIA, YOGYAKARTA,",RSUD SLEMAN,Indonesia
"RS KIDDIECARE CENTRE, JAKARTA, INDONESIA, JAKARTA,",RS KIDDIE CARE CENTRE,Indonesia
"RS HERMINA MEKARSARI CILEUNGSI, BOGOR, Indonesia",RS HERMINA MEKARSARI,Indonesia
"RS ISLAM SITI HAJAR SIDOARJO, SIDOARJO, Indonesia",RS ISLAM SITI HAJAR SIDOARJO,Indonesia
"RS ORIENTAL MELAKA STRAITS MEDICAL CENTRE, MELAKA,",ORIENTAL MELAKA STRAITS MEDICAL CENTRE MELAKA,Malaysia
"RS EMC SENTUL ( D/H PERTAMEDIKA SENTUL ), BOGOR, I",RS EMC SENTUL,Indonesia
"RS DR H M CHALIM SPA, INDONESIA, INDONESIA, INDONE",RS DR H M CHALIM SPA,Indonesia
"RSIA FAUZIAH, INDONESIA, INDONESIA, INDONESIA, IND",RSIA FAUZIAH,Indonesia
"RS BORNEO MEDICAL CENTRE, SARAWAK, Malaysia",BORNEO MEDICAL CENTRE MALAYSIA,Malaysia
"RS HERMINA JATINEGARA JAKARTA, JAKARTA TIMUR, Indo",RS HERMINA JATINEGARA,Indonesia
"RS MITRA KELUARGA CIBUBUR, JAKARTA TIMUR, Indonesi",MITRA KELUARGA CIBUBUR,Indonesia
"RS LANG EYE CENTRE PTE LTD, SINGAPORE, SINGAPORE,",LANG EYE CENTRE PTE LTD SINGAPORE,Singapore
"RS SANTA ELISABETH BATAM, BATAM, Indonesia",RS SANTA ELISABETH BATAM,Indonesia
"RS BALIMED DENPASAR, DENPASAR, Indonesia",RS BALIMED DENPASAR,Indonesia
"RS SURYA HUSADHA NUSA DUA, BADUNG, Indonesia",RS SURYA HUSADA NUSA DUA,Indonesia
"RS KHUSUS THT BEDAH KL PROKLAMASI JAKARTA, JAKARTA",RS KHUSUS THT BEDAH KL PROKLAMASI JAKARTA,Indonesia
"RS AZRA BOGOR, BOGOR, Indonesia",RS AZRA BOGOR,Indonesia
"RS PURI CINERE DEPOK, DEPOK, Indonesia",RS PURI CINERE,Indonesia
"RS EKA HOSPITAL PEKANBARU, PEKANBARU, Indonesia",EKA HOSPITAL PEKANBARU,Indonesia
"RS HOPE CHILDREN HOSPITAL-GOTTLIEB, PENANG, Malays",HOPE CHILDREN HOSPITAL PENANG,Malaysia
RS INTERNATIONAL SPECIALIST EYE CENTRE MALAYSIA (I,INTERNATIONAL SPECIALIST EYE CENTRE MALAYSIA,Malaysia
"RS APOTIK SENOPATI, INDONESIA, INDONESIA, INDONESI",APOTEK SENOPATI,Indonesia
"RS HC ORTHOPAEDIC SURGERY, SINGAPORE, SINGAPORE, S",HC ORTHOPAEDIC SURGERY SINGAPORE,Singapore
"RS ELITE ORTHOPAEDIC, SINGAPORE, SINGAPORE, SINGAP",ELITE ORTHOPAEDIC SINGAPORE,Singapore
"RS PUSAT PERTAMINA JAKARTA SELATAN, JAKARTA SELATA",RS PUSAT PERTAMINA JAKARTA SELATAN,Indonesia
"RS BALI SUDIRMAN MEDICAL CENTRE, INDONESIA, INDONE",RS BALI SUDIRMAN MEDICAL CENTRE,Indonesia
"RS APOTEK K-24, INDONESIA, INDONESIA, INDONESIA, I",APOTEK K24,Indonesia
"RS MOW BLOOD CANCER CLINIC, SINGAPORE, SINGAPORE,",MOW BLOOD CANCER CLINIC SINGAPORE,Singapore
"RS HARAPAN BUNDA JAKARTA, JAKARTA TIMUR, Indonesia",RS HARAPAN BUNDA JAKARTA,Indonesia
"RS SINGAPORE HEART , STROKE CANCER CENTRE PTE LTD",SINGAPORE HEART STROKE CANCER CENTRE PTE LTD,Singapore
"RSIA AMANNA, INDONESIA, INDONESIA, INDONESIA, INDO",RS AMANNA,Indonesia
"RS ISLAND HOSPITAL PENANG, MALAYSIA, MALAYSIA, MAL",ISLAND HOSPITAL PENANG,Malaysia
"RS SANTA CLARA MADIUN, MADIUN, Indonesia",RS SANTA CLARA MADIUN,Indonesia
"RS ROLAND SHOULDER ORTHOPAEDIC CLINIC, SINGAPORE,",ROLAND SHOULDER ORTHOPAEDIC CLINIC SINGAPORE,Singapore
"RS Subang Jaya Medical Centre, SELANGOR, Malaysia",SUBANG JAYA MEDICAL CENTER MALAYSIA,Malaysia
"RSIA PURI BUNDA DENPASAR, DENPASAR, Indonesia",RSIA PURI BUNDA DENPASAR,Indonesia
"RS IMMANUEL BANDUNG, BANDUNG, Indonesia",RS IMMANUEL BANDUNG,Indonesia
"RS SANTA ELISABETH MEDAN, MEDAN, Indonesia",RS SANTA ELISABETH MEDAN,Indonesia
"RS REKSA WALUYA MOJOKERTO, MOJOKERTO, Indonesia",RS REKSA WALUYA MOJOKERTO,Indonesia
"RS CIPUTRA CITRA RAYA TANGERANG, TANGERANG, Indone",CIPUTRA HOSPITAL CITRA RAYA TANGERANG,Indonesia
"RS RESTU KASIH JAKARTAU, JAKARTA TIMUR, Indonesia",RSU RESTU KASIH JAKARTA,Indonesia
"RS MANDAYA KARAWANG, KARAWANG, Indonesia",RS MANDAYA,Indonesia
"RS APOTEK MANJUR SEHAT, INDONESIA, INDONESIA, INDO",APOTEK MANJUR SEHAT,Indonesia
"RS REGENCY SPECIALIST HOSPITAL, JOHOR, Malaysia",REGENCY SPECIALIST HOSPITAL MALAYSIA,Malaysia
"RS DR DR KRISNI SUBANDIYAH SPA, INDONESIA, INDONES",RS DR DR KRISNI SUBANDIYAH SPA,Indonesia
"RS COLUMBIA ASIA SEMARANG, SEMARANG, Indonesia",COLUMBIA ASIA SEMARANG,Indonesia
"RS KMN JAKARTA SELATAN, INDONESIA, INDONESIA, INDO",KLINIK MATA NUSANTARA JAKARTA SELATAN,Indonesia
"RS NGOI SURGERY PTE LTD, SINGAPORE, SINGAPORE, SIN",NGOI SURGERY PTE LTD SINGAPORE,Singapore
"RS SINGAPORE GLIC, SINGAPORE, SINGAPORE",SINGAPORE GLIC,Singapore
"RS SARI ASIH CILEDUG TANGERANG, TANGERANG, Indones",RS SARI ASIH CILEDUG,Indonesia
"RS ORTOPEDI PROF DR R SOEHARSO SURAKARTA, SURAKART",RS ORTHOPEDI PROF DR R SOEHARSO,Indonesia
"RS RSUD TENRIAWARU BONE, INDONESIA, INDONESIA, IND",RSUD TENRIAWARU BONE,Indonesia
"RS ELITE OTRHOPAEDICS, SINGAPORE, INDONESIA, SINGA",ELITE ORTHOPAEDIC SINGAPORE,Singapore
"RS DELI MEDANU, MEDAN, Indonesia",RS DELI MEDAN,Indonesia
"RS SHIMAJU ORTHOPAEDIC CLINIC, JAPAN, JAPAN, JAPAN",SHIMAJU ORTHOPAEDIC CLINIC JAPAN,Japan
"RS THE EAR NOSE THROAT HEAD NECK CENTRE, SINGAPOR",EAR NOSE THROAT HEAD NECK CENTRE SINGAPORE,Singapore
